Year,Total_Cost_USD,NPV_Cost_USD,Energy_Cost_USD,PM_Asset_USD,PM_Modules_USD,CM_USD,Repl_Chassis_CapEx_USD,Repl_Modules_CapEx_USD,Units_Replaced,PM_Total_USD,Repl_Total_CapEx_USD,Run_ID
2037,306298392.18224436,170076624.41694957,117523881.28110412,110538809.91293934,2162700.0,2269600.0,72043400.98820093,1760000.0,1338,112701509.91293934,73803400.98820093,2
2038,294386452.4786961,157175333.7895272,114511768.54889376,94602675.84088862,2162700.0,2413800.0,79415508.0889137,1280000.0,1332,96765375.84088862,80695508.0889137,2
2039,295988784.1013465,151952722.82982713,114074983.3055095,99931838.0036207,2162700.0,2256700.0,76442562.79221632,1120000.0,1294,102094538.0036207,77562562.79221632,2
2022,291727284.9654789,291727284.9654789,117382521.48440431,98609081.1001525,1981300.0,2027200.0,71087182.38092205,640000.0,1219,100590381.1001525,71727182.38092205,3
2023,300026002.4066403,288486540.7756157,118529008.76423626,106530246.71762738,1999300.0,2155800.0,69531646.92477669,1280000.0,1330,108529546.71762738,70811646.92477669,3
2024,310841909.0442761,287390818.27318424,120566745.27278057,112254497.5101439,1999300.0,2292200.0,72929166.26135164,800000.0,1356,114253797.5101439,73729166.26135164,3
2025,293459842.84430075,260884731.7047223,116993668.1384881,99952467.40580682,1999300.0,2184200.0,71690207.30000582,640000.0,1345,101951767.40580682,72330207.30000582,3
2026,302969249.3841919,258979384.12673733,117904061.08683933,104500057.97838879,2054400.0,2305000.0,74925730.31896372,1280000.0,1366,106554457.97838879,76205730.31896372,3
2027,304574222.77772117,250337809.72117057,118867599.31564981,109316778.79983313,2062500.0,2225700.0,71141644.66223823,960000.0,1317,111379278.79983313,72101644.66223823,3
2028,303937719.5468797,240206394.6751943,116387692.33488539,101101275.94422767,2079600.0,2295900.0,81273251.26776668,800000.0,1435,103180875.94422767,82073251.26776668,3
2029,305245061.5624221,231961159.67324498,119438883.72217737,104857796.1185749,2107600.0,2226200.0,74854581.72166984,1760000.0,1346,106965396.1185749,76614581.72166984,3
2030,322855670.78009725,235907476.26836225,120531476.60994582,115222887.28783457,2107600.0,2394800.0,81318906.88231684,1280000.0,1374,117330487.28783457,82598906.88231684,3
2031,310706860.9592274,218298519.16328916,118547875.60368474,108836601.4981449,2107600.0,2379800.0,77554983.85739775,1280000.0,1343,110944201.4981449,78834983.85739775,3
2032,311647485.8777982,210537874.76368457,119704892.00635666,113051400.41356476,2126600.0,2241400.0,73243193.45787682,1280000.0,1316,115178000.41356476,74523193.45787682,3
2033,299384021.2450027,194474151.41548604,115431021.55083162,100265591.97065054,2126600.0,2312000.0,78128807.7235205,1120000.0,1320,102392191.97065054,79248807.7235205,3
2034,311297917.82782876,194435761.01567942,117143589.12294272,118855763.70527215,2126600.0,2107100.0,69944864.99961388,1120000.0,1293,120982363.70527215,71064864.99961388,3
2035,293383518.3268712,176198538.40613726,114634779.35731982,96035743.71451452,2126600.0,2271700.0,77034695.25503686,1280000.0,1335,98162343.71451452,78314695.25503686,3
2036,295068930.2985231,170394954.9622813,115844009.30192398,94156325.01673709,2126600.0,2422300.0,79079695.97986205,1440000.0,1361,96282925.01673709,80519695.97986205,3
2037,288589532.24363816,160243523.10952035,113824857.69285542,97939817.95995404,2135600.0,2217000.0,71032256.59082872,1440000.0,1319,100075417.95995404,72472256.59082872,3
2038,310129794.2745276,165580832.68693826,119947298.34437938,110429223.33910814,2135600.0,2336500.0,74161172.59104007,1120000.0,1363,112564823.33910814,75281172.59104007,3
2039,299210519.40786564,153606675.54141012,116210916.07206252,101820498.97398123,2135600.0,2309000.0,75614504.36182189,1120000.0,1302,103956098.97398123,76734504.36182189,3
2022,304951665.31103164,304951665.31103164,119357238.71539336,111368633.70597024,1981300.0,2074700.0,69529792.88966805,640000.0,1195,113349933.70597024,70169792.88966805,4
2023,298698567.15014637,287210160.7212946,117095886.3753741,101926951.8637307,1999300.0,2181900.0,74534528.91104159,960000.0,1294,103926251.8637307,75494528.91104159,4
2024,311245555.6232727,287764012.2256589,121695171.0982054,113138402.13818406,1999300.0,2157100.0,71615582.38688323,640000.0,1328,115137702.13818406,72255582.38688323,4
2025,310536862.81615,276066140.2766468,121574559.19169314,114742205.6474643,2044400.0,2200900.0,69494797.97699256,480000.0,1370,116786605.6474643,69974797.97699256,4
2026,284971341.75913984,243594697.25907704,115203906.53564048,97398820.08291715,2063400.0,2135800.0,66889415.14058221,1280000.0,1282,99462220.08291715,68169415.1405822,4
2027,313647435.83032763,257795329.4745106,118731138.85621223,114310702.97187456,2063400.0,2259200.0,74842994.00224085,1440000.0,1343,116374102.97187456,76282994.00224085,4
2028,307094866.96369314,242701534.13857335,117328796.91153824,105444690.22017887,2063400.0,2406200.0,78411779.83197603,1440000.0,1377,107508090.22017887,79851779.83197603,4
2029,301557632.87919277,229159016.9319468,116975300.08539535,105320704.77313922,2080500.0,2375800.0,73365328.0206582,1440000.0,1386,107401204.77313922,74805328.0206582,4
2030,318314448.2295549,232589249.43194684,120242145.21064533,114765958.46261773,2089500.0,2315400.0,77301444.55629182,1600000.0,1361,116855458.46261773,78901444.55629182,4
2031,300429783.8852113,211077981.13056415,117027197.17789209,106399700.99003354,2089500.0,2277600.0,71355785.71728565,1280000.0,1371,108489200.99003354,72635785.71728565,4
2032,296355257.3632449,200206993.11775616,116216614.42083214,98682159.80536929,2097600.0,2332600.0,75906283.13704345,1120000.0,1368,100779759.80536929,77026283.13704345,4
2033,291423860.4810871,189303382.7710684,115579987.82993509,97451263.06029214,2097600.0,2264900.0,72590109.59085989,1440000.0,1367,99548863.06029214,74030109.59085989,4
2034,295940581.0661595,184843613.78493333,117433966.12311798,99198303.06579842,2116600.0,2338000.0,73093711.87724306,1760000.0,1369,101314903.06579842,74853711.87724306,4
2035,313548076.3748968,188308849.4281399,120059403.00429846,115698617.99381796,2116600.0,2278300.0,72275155.37678039,1120000.0,1331,117815217.99381796,73395155.37678039,4
2036,311832809.72979414,180075677.6252693,118982301.92090793,114801414.88345107,2116600.0,2272300.0,72700192.92543513,960000.0,1355,116918014.88345107,73660192.92543513,4
2037,306965033.5230628,170446786.6895472,117303048.68182711,107049094.3245234,2124700.0,2304900.0,76903290.5167123,1280000.0,1363,109173794.3245234,78183290.5167123,4
2038,313771913.58872217,167525389.96561003,119049319.89330374,108969441.04059374,2143700.0,2514400.0,79815052.65482469,1280000.0,1331,111113141.04059374,81095052.65482469,4
2039,318064460.69627905,163285784.57774162,122697900.42434977,121521481.25568645,2143700.0,2112700.0,68308679.01624286,1280000.0,1290,123665181.25568645,69588679.01624286,4
2022,298572145.98685104,298572145.98685104,116980720.02985111,101093222.82561958,1981300.0,2152600.0,75404303.13138032,960000.0,1265,103074522.82561958,76364303.13138032,5
2023,297967255.71159375,286506976.6457632,117056319.76437066,102514393.54454274,1981300.0,2279400.0,73015842.40268037,1120000.0,1345,104495693.54454274,74135842.40268037,5
2024,292441583.8552069,270378683.29808325,115223497.6918877,103098423.98700105,1990300.0,2027400.0,68501962.17631812,1600000.0,1368,105088723.98700105,70101962.17631812,5
2025,308679361.832474,274414828.66593117,117194808.16492122,110316871.05997044,2024500.0,2235700.0,75627482.60758235,1280000.0,1389,112341371.05997044,76907482.60758235,5
2026,304679928.5590654,260441679.85492653,118184070.318199,107142756.5293306,2024500.0,2252300.0,73956301.71153583,1120000.0,1353,109167256.5293306,75076301.71153583,5
2027,290823190.1422646,239035463.25215638,117063196.12282135,103781937.67464869,2024500.0,2058900.0,64774656.3447946,1120000.0,1313,105806437.67464869,65894656.3447946,5
2028,294559778.9694313,232794872.01540262,119194757.41878691,103320938.69242151,2043500.0,2138100.0,66742482.858222835,1120000.0,1342,105364438.69242151,67862482.85822284,5
